Temperature,CO2,Humidity,HumidityRatio,Light,WorkHours,Occupancy
23.7,749.2,26.272,0.004764163,585.2,1,1
23.718,760.4,26.29,0.004772661,578.4,1,1
23.73,769.6666667,26.23,0.004765153,572.6666667,1,1
23.7225,774.75,26.125,0.004743773,493.75,1,1
23.754,779,26.2,0.004766594,488.6,1,1
23.76,790,26.26,0.004779332,568.6666667,1,1
23.73,798,26.29,0.004776136,536.3333333,1,1
23.754,797,26.29,0.004783094,509,1,1
23.754,803.2,26.35,0.004794094,476,1,1
23.736,809,26.39,0.004796189,510,1,1
23.745,815.25,26.445,0.004808886,481.5,1,1
23.7,824,26.56,0.004816793,481.8,1,1
23.7,832,26.6,0.004824104,475.25,1,1
23.7,845.3333333,26.7,0.004842381,469,1,1
23.7,852.4,26.774,0.004855906,464,1,1
23.7,861,26.89,0.00487711,464,1,1
23.7,880,26.9725,0.004892191,455,1,1
23.6,891,26.89,0.004847594,454,1,1
23.64,897.6,26.976,0.004875045,458,1,1
23.65,900.5,27.05,0.004891492,464,1,1
23.64,908.8,27.1,0.00489763,473,1,1
23.6,918,27.16,0.004896652,464,1,1
23.6,925.2,27.236,0.004910462,498.4,1,1
23.6,929.4,27.29,0.004920275,530.2,1,1
23.6,936.4,27.33,0.004927544,533.6,1,1
23.6,950,27.34,0.004929361,524.25,1,1
23.625,961,27.3925,0.004946406,498.6666667,1,1
23.6,963,27.39,0.004938448,516.3333333,1,1
23.6,958.6,27.412,0.004942446,501.2,1,1
23.6,965.3333333,27.5,0.004958439,522,1,1
23.6,979.25,27.525,0.004962982,520.5,1,1
23.6,978.4285714,27.6,0.004976614,505.2857143,1,1
23.6,983,27.6,0.004976614,488.3333333,1,1
23.6,992.6,27.54,0.004965709,512,1,1
23.6,997.2,27.6,0.004976614,511,1,1
23.61666667,999.5,27.63333333,0.004987718,501.5,1,1
23.66666667,1001,27.7,0.005015051,503.6666667,1,1
23.6,1009.5,27.7,0.00499479,483.1666667,1,1
23.6,1019,27.7225,0.004998879,483.5,1,1
23.6,1021,27.79,0.005011149,473,1,1
23.6,1024.666667,27.85666667,0.005023268,470.3333333,1,1
23.6,1030.428571,27.80428571,0.005013746,480.1428571,1,1
23.575,1026.25,27.79,0.005003545,464,1,1
23.54,1028,27.81,0.004996538,474.4,1,1
23.6,1034.8,27.978,0.005045325,470,1,1
23.525,1055.5,28,0.005026367,454,1,1
23.5,1055.25,27.978,0.00501476,454,1,1
23.5,1050,28,0.005018735,454,1,1
23.5,1051.25,28,0.005018735,454,1,1
23.5,1053.6,28,0.005018735,445,1,1
23.5,1055.5,28,0.005018735,439,1,1
23.5,1055,28.025,0.005023252,444.25,1,1
23.445,1059.5,28.125,0.005024491,454.75,1,1
23.39,1060,28.18,0.005017582,455.8,1,1
23.39,1073.6,28.2,0.005021172,451.6,1,1
23.39,1078.6,28.2,0.005021172,451.6,1,1
23.39,1081,28.2,0.005021172,454.75,1,1
23.39,1082,28.2225,0.005025211,454.75,1,1
23.39,1088.833333,28.37333333,0.005052286,457.5,1,1
23.37,1090.6,28.39,0.00504913,464,1,1
23.39,1086,28.32333333,0.00504331,464,1,1
23.37333333,1092.5,28.445,0.005060017,464,1,1
23.39,1103.75,28.5,0.005075025,471.5,1,1
23.32333333,1104.5,28.5,0.005054476,475.6666667,1,1
23.365,1103.5,28.5,0.00506731,471.5,1,1
23.29,1112,28.5,0.005044229,467.75,1,1
23.30666667,1105.666667,28.53333333,0.005055304,466.5,1,1
23.29,1104,28.7,0.005079916,464,1,1
23.29,1117.2,28.7,0.005079916,467,1,1
23.29,1121.25,28.675,0.005075455,467.75,1,1
23.29,1115.666667,28.61666667,0.005065046,466.5,1,1
23.29,1120,28.66,0.005072779,459,1,1
23.29,1123.75,28.55,0.005053151,464,1,1
23.29,1116,28.6,0.005062072,470,1,1
23.272,1126.8,28.6,0.005056527,464,1,1
23.2,1112.75,28.4175,0.005002016,464,1,1
23.23,1104.5,28.5,0.005025831,449,1,1
23.29,1108,28.5,0.005044229,464,1,1
23.215,1127.833333,28.63333333,0.005044923,462.3333333,1,1
23.2,1128.75,28.6,0.005034399,469,1,1
23.2,1124.25,28.65,0.005043272,469,1,1
23.2,1130.4,28.62,0.005037948,469,1,1
23.2,1138,28.7,0.005052145,464,1,1
23.2,1144,28.7,0.005052145,456.5,1,1
23.2,1140,28.718,0.005055339,457,1,1
23.2,1139.25,28.79,0.005068117,450.25,1,1
23.2,1167.333333,28.79,0.005068117,446,1,1
23.14,1159.6,28.79,0.005049618,451.6,1,1
23.15,1157.75,28.89,0.005070391,454.75,1,1
23.15,1159.5,28.89,0.005070391,448,1,1
23.18,1156.4,28.83,0.005069034,444,1,1
23.11666667,1160,28.945,0.005069809,444,1,1
